YORF,Name,NCBI gi,NCBI gi2,SGD ID,ORF status,"# potential tryptic peptides with up to 2 missed cleavages, <7.5 KDa, >3 aa long",O_i (Integrated probability of peptide observations),n_i (# observed peptides),p_i (probability of correct protein identification),APEX,n_i (# observed peptides),p_i (probability of correct protein identification),APEX,p(YPD),p(YMD),p(null),Z (YMD-YPD),GFP- YPD,GFP - YMD,Western,2D gel,"Average (>=2 measurements out of APEX, Western, 2D)",SAGE,HDA,Wang,"Average (>=2 measurements out of SAGE,HDA, Wang)",Avg_protein/Avg_mRNA,MW (Da),PI,CAI (Codon Adaptation Index),Length,Codon Bias,FOP Score (Frequency of Optimal Codons),Gravy Score (Hydropathicity of Protein),"Aromaticity (Frequency of aromatic amino acids: Phe, Tyr, Trp)",PEST_abs,PEST_rel
YDR539W,YDR539W,6320748,,S000002947,ORF|Uncharacterized,139,33.41,,,,,,,0,0,0,,58,63.5,861,,,,0.8,0.69,0.745,,56163,6.02,0.158,503,0.097,0.467,-0.123261,0.089463,127,0.25
YDR540C,YDR540C,6320749,,S000002948,ORF|Uncharacterized,82,17.7,,,,,,,0,0,0,,,,172,,,,,0.66,,,21518,10.15,0.144,179,0.029,0.438,-0.952514,0.139665,47,0.26
YDR541C,YDR541C,6320750,,S000002949,ORF|Uncharacterized,98,24.18,,,,,,,0,0,0,,,,,,,2,0.2,0.65,0.95,,38586,6.4,0.181,344,0.091,0.467,-0.282558,0.081395,83,0.24
YDR542W,YDR542W,6320751,,S000002950,ORF|Uncharacterized,15,4.87,,,,,,,0,0,0,,,,,,,,,0.23,,,12834,5.67,0.625,120,0.696,0.817,0.318333,0.091667,32,0.27
YDR543C,YDR543C,6320752,,S000002951,ORF|Dubious,23,6.48,,,,,,,0,0,0,,,,,,,,0.2,0.16,0.18,,11349,10.08,0.131,99,-0.132,0.357,-0.215152,0.131313,,
YDR544C,YDR544C,6320753,,S000002952,ORF|Dubious,5,0.38,,,,,,,0,0,0,,,,,,,,,0.18,,,15912,10.49,0.185,142,0.343,0.6,-0.425352,0.042254,,
YDR545W,YRF1-1,6320754,,S000002953,ORF|Verified,604,145.02,,,,1,0.64,362,0,4.96E-05,2.61E-05,0.95,,,,,,,5.5,0.67,3.085,,203779,7.49,0.104,1796,0.034,0.421,-0.370991,0.094098,466,0.26
YEL001C,YEL001C,6320836,,S000000727,ORF|Uncharacterized,27,4.52,,,,,,,0,0,0,,820.5,525,7110,,,5,3.5,4.14,4.213333333,,24992,4.5,0.16,225,0.086,0.47,-0.02,0.124444,65,0.29
YEL002C,WBP1,6320835,,S000000728,ORF|Verified,125,33.9,,,,,,,0,0,0,,760,616,14900,,,2,1.9,2.91,2.27,,49391,5.76,0.174,430,0.101,0.477,-0.331861,0.132558,114,0.27
YEL003W,GIM4,6320834,,S000000729,ORF|Verified,51,12.23,,,,,,,0,0,0,,86.5,61.495714,1660,,,,3,4.73,3.865,,14285,8.1,0.152,123,0.014,0.462,-0.277236,0.073171,29,0.24
YEL004W,YEA4,6320833,,S000000730,ORF|Verified,86,16.51,,,,,,,0,0,0,,,,,,,,0.3,1.25,0.775,,39266,10.21,0.101,342,-0.053,0.383,0.377193,0.152047,71,0.21
YEL005C,VAB2,6320832,,S000000731,ORF|Verified,85,19.71,,,,,,,0,0,0,,,,,,,,0.1,2.27,1.185,,31364,6.19,0.119,282,-0.034,0.391,-0.412411,0.056738,78,0.28
YEL006W,YEL006W,6320831,,S000000732,ORF|Uncharacterized,93,28.59,,,,1,0.2,574,0,4.96E-05,2.61E-05,0.95,,,1630,,,2,0.9,1.8,1.566666667,,36960,10.55,0.107,335,0.025,0.412,0.01791,0.110448,78,0.23
YEL007W,TOS9,6320830,,S000000733,ORF|Uncharacterized,77,18.84,2,0.26,2566,,,,0.000110375,0,5.22E-05,-1.49,225.5,255,1710,,2138.127511,,1.7,2.56,2.13,,72533,7.18,0.141,666,0.043,0.442,-0.85,0.07958,215,0.32
YEL008W,YEL008W,6320829,,S000000734,ORF|Dubious,30,7.23,,,,,,,0,0,0,,,,,,,,,0.78,,,14022,8.99,0.097,126,0.04,0.434,0.350794,0.103175,,
YEL009C,GCN4,6320828,,S000000735,ORF|Verified,82,19.34,2,0.48,4615,,,,0.000110375,0,5.22E-05,-1.49,,,,,,18,22.3,20.98,20.42666667,,31310,4.93,0.233,281,0.246,0.545,-0.601424,0.05694,95,0.34
YEL010W,YEL010W,6320827,,S000000736,ORF|Dubious,39,10.65,,,,,,,0,0,0,,,,,,,,,0.97,,,13523,9.37,0.079,116,-0.149,0.336,0.15431,0.155172,,
YEL011W,GLC3,6320826,,S000000737,ORF|Verified,202,61.81,,,,,,,0,0,0,,,,1230,,,4,0.2,1.67,1.956666667,,81115,6.12,0.177,704,0.106,0.465,-0.414205,0.137784,158,0.22
YEL012W,UBC8,6579192,,S000000738,ORF|Verified,46,11.84,,,,,,,0,0,0,,60.5,75.5,1590,,,1,0.8,1.27,1.023333333,,24633,3.91,0.132,218,-0.085,0.375,-0.770642,0.077982,56,0.26
YEL013W,VAC8,6320824,,S000000739,ORF|Verified,139,33.64,,,,,,,0,0,0,,512,458.5,5680,,,1,1.6,2.14,1.58,,63207,4.86,0.186,578,0.15,0.484,-0.11782,0.043253,133,0.23
YEL014C,YEL014C,6320823,,S000000740,ORF|Dubious,26,6.79,,,,,,,0,0,0,,132.5,57.30184125,,,,,0.1,2.11,1.105,,12209,8.81,0.108,101,-0.088,0.365,0.332673,0.19802,,
YEL015W,YEL015W,6320822,,S000000741,ORF|Verified,164,37.95,,,,,,,0,0,0,,154,148.5,2340,,,1,1,1.91,1.303333333,,61340,6.34,0.153,551,0.075,0.457,-0.535753,0.056261,118,0.21
YEL016C,YEL016C,6320821,,S000000742,ORF|Uncharacterized,121,30.99,,,,5,0.29,3837,0,0.000247844,0.000130569,2.12,,,,,,,0.3,1.26,0.78,,57354,5.52,0.114,493,0.003,0.42,-0.346653,0.123732,104,0.21
YEL017C-A,PMP2,6320819,,S000002103,ORF|Verified,12,1.08,,,,,,,0,0,0,,5068.5,3451.5,74700,,,57,,9.72,33.36,,4848,12.09,0.544,43,0.633,0.775,1.009302,0.093023,5,0.12
YEL017W,YEL017W,6320820,,S000000743,ORF|Uncharacterized,79,22.95,,,,,,,0,0,0,,,,1300,,,,0.6,1.36,0.98,,38234,4.7,0.124,337,0.063,0.445,-0.317211,0.121662,90,0.27
YEL018W,EAF5,6320818,,S000000744,ORF|Uncharacterized,106,31.18,,,,,,,0,0,0,,,,937,,,10,0.7,1.34,4.013333333,,31644,8.9,0.117,279,0.094,0.468,-0.535842,0.039427,62,0.22
YEL019C,MMS21,6320817,,S000000745,ORF|Verified,78,22.88,,,,,,,0,0,0,,,,2800,,,,,0.75,,,30354,4.9,0.161,267,0.052,0.452,-0.605244,0.067416,74,0.28
YEL020C,YEL020C,6320816,,S000000746,ORF|Uncharacterized,133,35.74,,,,,,,0,0,0,,,,,,,,0.7,0.84,0.77,,61288,7.64,0.116,560,0.066,0.441,-0.059286,0.071429,123,0.22
YEL020W-A,TIM9,6320815,,S000007256,ORF|Verified,39,7.92,,,,,,,0,0,0,,,,,,,,,,,,10202,8.17,0.219,87,0.29,0.59,-0.848276,0.08046,18,0.21
YEL021W,URA3,6320814,,S000000747,ORF|Verified,99,27.27,21,1,71600,38,1,114259,0.00115894,0.001883613,0.001540711,1.81,,,,,,,0.7,1.24,0.97,,29239,7.37,0.18,267,0.209,0.519,-0.240075,0.074906,53,0.2
YEL022W,GEA2,6320813,,S000000748,ORF|Verified,420,107.52,,,,,,,0,0,0,,263.5,166.5,7700,,,2,0.9,2.63,1.843333333,,165666,4.88,0.154,1459,0.06,0.456,-0.232351,0.082248,388,0.27
YEL023C,YEL023C,6320812,,S000000749,ORF|Uncharacterized,224,56.86,,,,,,,0,0,0,,,,,,,,0.2,1.41,0.805,,78319,6.56,0.13,682,0.014,0.412,-0.56393,0.112903,170,0.25
YEL024W,RIP1,6320811,,S000000750,ORF|Verified,60,20.7,,,,,,,0,0,0,,119.5,353.5,,,,4,1.8,,2.9,,23365,8.07,0.327,215,0.36,0.613,-0.087907,0.074419,49,0.23
YEL025C,SRI1,6320810,,S000000751,ORF|Uncharacterized,370,79.53,6,0.71,4980,,,,0.000331126,0,0.000156683,-2.58,,,,,,,0.4,2.04,1.22,,136068,8.07,0.128,1188,0.008,0.416,-0.167593,0.127104,267,0.22
YEL026W,SNU13,6320809,,S000000752,ORF|Verified,34,8.02,6,0.99,68864,7,0.99,70852,0.000331126,0.000346981,0.000339479,0.08,,,,,,,17.2,9.17,13.185,,13569,7.9,0.635,126,0.666,0.798,0.234127,0.039683,27,0.21
YEL027W,CUP5,6320808,,S000000753,ORF|Verified,16,2.45,,,,,,,0,0,0,,2158,1621.5,8450,,,,27.6,6.59,17.095,,16350,7.93,0.584,160,0.693,0.809,1.201875,0.0875,23,0.14
YEL028W,YEL028W,6320807,,S000000754,ORF|Dubious,37,12.61,,,,,,,0,0,0,,,,,,,,0.2,1.91,1.055,,17360,9.74,0.108,153,-0.083,0.362,-0.10719,0.130719,,
YEL029C,BUD16,6320806,,S000000755,ORF|Verified,97,20.8,,,,,,,0,0,0,,,,,,,1,0.3,1.42,0.906666667,,35559,6.51,0.14,312,0.027,0.431,-0.141346,0.102564,67,0.21
YEL030W,ECM10,6320805,,S000000756,ORF|Verified,234,64.68,2,0.39,1121,,,,0.000110375,0,5.22E-05,-1.49,,,,,,,0.1,2.18,1.14,,70084,6.14,0.202,644,0.196,0.523,-0.324534,0.049689,154,0.24
YEL031W,SPF1,6320804,,S000000757,ORF|Verified,327,89.12,,,,,,,0,0,0,,1279.5,916.626374,1870,,,9,4.4,1.98,5.126666667,,135267,6.56,0.257,1215,0.278,0.567,0.010124,0.095473,295,0.24
YEL032W,MCM3,6320803,,S000000758,ORF|Verified,307,94.18,4,0.92,3633,,,,0.000220751,0,0.000104455,-2.11,,,35100,,19366.50461,,0.8,3.02,1.91,10140,107516,5.19,0.184,971,0.2,0.515,-0.473223,0.058702,255,0.26
YEL033W,YEL033W,6320802,,S000000759,ORF|Dubious,42,7.02,,,,,,,0,0,0,,,,,,,48,0.2,7.82,18.67333333,,16094,10.68,0.072,139,-0.229,0.279,0.123741,0.158273,,
YEL034W,HYP2,6320801,,S000000760,ORF|Verified,44,12.81,35,1,254037,24,1,153622,0.001931567,0.00118965,0.001540711,-1.85,,,,,,2,25,24.37,17.12333333,,17114,4.64,0.814,157,0.783,0.872,-0.382803,0.050955,41,0.26
YEL035C,UTR5,6320800,,S000000761,ORF|Uncharacterized,55,8.62,,,,,,,0,0,0,,,,,,,,,0.89,,,19335,10.05,0.074,166,-0.006,0.383,-0.481325,0.120482,38,0.23
YEL036C,ANP1,6320799,,S000000762,ORF|Verified,120,29.96,,,,,,,0,0,0,,133.5,63,,,,2,3,1.55,2.183333333,,58182,5.04,0.157,500,0.181,0.517,-0.7466,0.112,111,0.22
YEL037C,RAD23,6320798,,S000000763,ORF|Verified,71,22.77,2,0.31,2532,,,,0.000110375,0,5.22E-05,-1.49,,,10900,,6715.831884,1,1.9,1.55,1.483333333,,42366,4.07,0.164,398,0.191,0.508,-0.452513,0.042714,129,0.32
YEL038W,UTR4,6320797,,S000000764,ORF|Verified,64,18.6,,,,,,,0,0,0,,93.5,56,2850,,,2,2.9,1.78,2.226666667,,26735,6.53,0.126,241,0.117,0.479,-0.233195,0.099585,48,0.2
YEL039C,CYC7,6320796,,S000000765,ORF|Verified,48,12.66,,,,,,,0,0,0,,,,1310,,,,0.9,1.52,1.21,,12532,10.4,0.183,113,0.128,0.491,-0.90177,0.088496,26,0.23
YEL040W,UTR2,6320795,,S000000766,ORF|Verified,68,15.21,,,,,,,0,0,0,,684,749,,,,7,14.1,3.7,8.266666667,,49906,4.45,0.235,467,0.265,0.568,-0.352463,0.098501,165,0.35
YEL041W,YEL041W,6320794,,S000000767,ORF|Uncharacterized,145,32.69,,,,,,,0,0,0,,,,300,,,,,1.65,,,55873,5.61,0.11,495,-0.041,0.39,-0.274546,0.082828,132,0.27
YEL042W,GDA1,6320793,,S000000768,ORF|Verified,140,33.29,,,,,,,0,0,0,,,,8680,,,2,1.3,1.69,1.663333333,,56821,5.07,0.227,518,0.237,0.543,-0.214093,0.084942,139,0.27
YEL043W,YEL043W,6320792,,S000000769,ORF|Uncharacterized,241,61.06,,,,,,,0,0,0,,66,60,149,,,,0.9,1.76,1.33,,106132,7.93,0.149,956,0.113,0.471,-0.683996,0.058577,318,0.33
YEL044W,IES6,6320791,,S000000770,ORF|Verified,68,15.76,,,,,,,0,0,0,,,,1720,,,,2,1.59,1.795,,18533,11.05,0.106,166,0.067,0.427,-0.826506,0.078313,41,0.25
YEL045C,YEL045C,6320790,,S000000771,ORF|Dubious,42,10.33,,,,,,,0,0,0,,,,,,,1,,1.22,1.11,,16468,10.49,0.101,141,0.033,0.404,0.586525,0.205674,,
YEL046C,GLY1,6320789,,S000000772,ORF|Verified,110,26.5,8,1,28069,7,1,21659,0.000441501,0.000346981,0.000391706,-0.47,7490,6170.5,106000,,67034.32355,4,5.2,2.5,3.9,17188,42815,6.24,0.33,387,0.47,0.682,-0.164341,0.080103,87,0.22
YEL047C,YEL047C,6320788,,S000000773,ORF|Uncharacterized,138,41.08,2,0.65,2942,5,0.97,9681,0.000110375,0.000247844,0.000182796,0.99,651,640.5,7620,,5281.16129,,1.2,1.61,1.405,,50844,6.27,0.26,470,0.351,0.608,-0.135106,0.057447,110,0.23
YEL048C,YEL048C,6320787,,S000000774,ORF|Uncharacterized,35,9,,,,,,,0,0,0,,,,8660,,,2,0.4,1.6,1.333333333,,17354,4.47,0.144,152,0.03,0.439,0.065789,0.092105,40,0.26
YEL049W,PAU2,6320786,,S000000775,ORF|Verified,15,4.96,,,,,,,0,0,0,,,,,,,,0.8,0.25,0.525,,12819,5.04,0.604,120,0.699,0.819,0.234167,0.091667,33,0.28
YEL050C,RML2,6320785,,S000000776,ORF|Verified,179,36.47,,,,,,,0,0,0,,,,1580,,,,1.5,1.4,1.45,,43786,11.5,0.172,393,0.214,0.512,-0.576845,0.048346,88,0.22
YEL051W,VMA8,6320784,,S000000777,ORF|Verified,100,17.45,1,0.76,4049,,,,5.52E-05,0,2.61E-05,-1.06,978,720.5,8500,,6274.72261,,3,4.37,3.685,,29194,5.71,0.322,256,0.359,0.62,-0.617969,0.066406,61,0.24
YEL052W,AFG1,6320783,,S000000778,ORF|Verified,172,43.5,,,,,,,0,0,0,,111,129.5,3570,,,,0.7,1.17,0.935,,58264,8.64,0.139,509,0.024,0.424,-0.345973,0.113949,121,0.24
YEL053C,MAK10,6320782,,S000000779,ORF|Verified,201,46.8,,,,,,,0,0,0,,,,1970,,,,0.2,2.44,1.32,,84302,5.72,0.153,733,0.061,0.453,-0.206685,0.110505,179,0.24
YEL054C,RPL12A,6320781,,S000000780,ORF|Verified,71,17.59,25,1,132145,18,1,83907,0.001379691,0.000892238,0.001122891,-1.42,1248,1096.96696,68500,,100322.6219,10,18.6,31.79,20.13,4984,17822,10.2,0.605,165,0.66,0.798,-0.336364,0.036364,39,0.24
YEL055C,POL5,6320780,,S000000781,ORF|Verified,341,92.06,,,,,,,0,0,0,,172,70.5,4490,,,1,0.8,2.59,1.463333333,,115893,5.07,0.153,1022,0.057,0.44,-0.292564,0.073386,247,0.24
YEL056W,HAT2,6320779,,S000000782,ORF|Verified,84,23.32,,,,,,,0,0,0,,,,,,,3,1.5,1.22,1.906666667,,45060,4.56,0.15,401,0.066,0.446,-0.515212,0.079801,113,0.28
YEL057C,YEL057C,6320778,,S000000783,ORF|Uncharacterized,96,23.94,,,,,,,0,0,0,,,,,,,,0.2,0.84,0.52,,27228,10.56,0.154,233,0.075,0.465,-0.38412,0.107296,47,0.2
YEL058W,PCM1,6320777,,S000000784,ORF|Verified,162,44.21,,,,,,,0,0,0,,70.5,87,14700,,,6,3.1,1.15,3.416666667,,62066,5.78,0.156,557,0.166,0.502,-0.158348,0.091562,131,0.24
YEL059C-A,SOM1,7839166,,S000002954,ORF|Verified,21,6.74,,,,,,,0,0,0,,,,358,,,,,0.88,,,8415,5.82,0.083,74,-0.025,0.389,-0.516216,0.094595,23,0.31
YEL059W,YEL059W,6320776,,S000000785,ORF|Dubious,17,4.22,,,,,,,0,0,0,,,,,,,,,0.67,,,11341,7.61,0.087,102,0.016,0.388,0.790196,0.137255,,
YEL060C,PRB1,6320775,,S000000786,ORF|Verified,192,44.44,,,,,,,0,0,0,,169.5,118,1600,,,2,1.5,1.47,1.656666667,,69621,6.37,0.3,635,0.371,0.63,-0.660315,0.070866,146,0.23
YEL061C,CIN8,6320774,,S000000787,ORF|Verified,374,99.18,,,,,,,0,0,0,,,,238,,,,0.1,2.98,1.54,,113310,8.17,0.142,1000,0.033,0.446,-0.6988,0.054,261,0.26
YEL062W,NPR2,6320773,,S000000788,ORF|Verified,191,47.06,,,,,,,0,0,0,,,,319,,,,0.2,1.82,1.01,,69858,8.62,0.132,615,0.041,0.437,-0.352033,0.100813,196,0.32
YEL063C,CAN1,6320772,,S000000789,ORF|Verified,135,29.73,1,0.58,1814,,,,5.52E-05,0,2.61E-05,-1.06,651.5,1008.5,,,,1,1.1,1.8,1.3,,65785,8.58,0.218,590,0.255,0.56,0.331864,0.147458,132,0.22
YEL064C,AVT2,6320771,,S000000790,ORF|Verified,109,21.93,,,,,,,0,0,0,,,,,,,,0.4,2.07,1.235,,53323,8.46,0.12,480,0.047,0.442,0.3875,0.1,102,0.21
YEL065W,SIT1,6320770,,S000000791,ORF|Verified,125,27.13,,,,,,,0,0,0,,,,,,,1,1.5,2.58,1.693333333,,70561,8.06,0.191,628,0.231,0.547,0.477866,0.136943,137,0.22
YEL066W,HPA3,6320768,,S000000792,ORF|Verified,66,15.66,,,,,,,0,0,0,,,,1160,,,1,0.4,1.34,0.913333333,,20698,7.88,0.141,179,0.092,0.467,-0.534078,0.128492,44,0.25
YEL067C,YEL067C,6320769,,S000000793,ORF|Dubious,50,12.67,1,0.25,1835,,,,5.52E-05,0,2.61E-05,-1.06,,,,,,,,1.43,,,21721,10.02,0.089,195,-0.004,0.403,0.095898,0.107692,,
YEL068C,YEL068C,6320767,,S000000794,ORF|Dubious,34,6.15,,,,,,,0,0,0,,,,952,,,,0.3,1.96,1.13,,12910,6.09,0.129,110,-0.046,0.39,-0.586364,0.127273,,
YEL069C,HXT13,6320766,,S000000795,ORF|Verified,122,25.08,,,,,,,0,0,0,,,,,,,,,0.56,,,62734,7.19,0.193,564,0.231,0.542,0.347695,0.138298,118,0.21
YEL070W,YEL070W,6320765,,S000000796,ORF|Uncharacterized,147,42.37,,,,,,,0,0,0,,,,125,,,1,0.1,0.47,0.523333333,,56470,6.09,0.259,502,0.32,0.595,-0.21255,0.087649,118,0.24
YEL071W,DLD3,6320764,,S000000797,ORF|Verified,150,41.1,7,0.99,15677,27,1,53866,0.000386313,0.001338356,0.000887868,3.12,1188.5,2404.5,13000,,14338.60507,4,1.6,1.39,2.33,6154,55225,6.88,0.22,496,0.215,0.535,-0.263508,0.092742,100,0.2
YEL072W,YEL072W,6320763,,S000000798,ORF|Verified,81,23.9,,,,,,,0,0,0,,,,,,,,0.2,0.83,0.515,,26815,8.37,0.124,231,-0.068,0.387,-0.322511,0.116883,52,0.23
YEL073C,YEL073C,6320762,,S000000799,ORF|Uncharacterized,7,1.36,,,,,,,0,0,0,,,,,,,1,,0.55,0.775,,11960,4.08,0.098,107,-0.043,0.384,0.07757,0.130841,31,0.29
YEL074W,YEL074W,6320761,,S000000800,ORF|Dubious,47,9.18,,,,,,,0,0,0,,,,,,,,,0.32,,,13062,10.56,0.11,112,-0.016,0.409,-0.645536,0.116071,,
YEL075C,YEL075C,6320760,,S000000801,ORF|Uncharacterized,48,9.54,,,,,,,0,0,0,,,,,,,,0.3,0.15,0.225,,13994,8.4,0.157,122,0.083,0.471,-0.481147,0.106557,32,0.26
YEL075W-A,YEL075W-A,6320757,,S000002956,ORF|Dubious,75,18.42,,,,,,,0,0,0,,,,,,,,,,,,22796,11.62,0.094,203,0.036,0.415,-0.043842,0.08867,,
YEL076C,YEL076C,6320758,,S000000802,ORF|Uncharacterized,81,18.55,,,,,,,0,0,0,,,,,,,,0.3,0.3,0,,24465,7.72,0.115,216,0.043,0.43,-0.310185,0.069444,50,0.23
YEL076C-A,YEL076C-A,6320759,,S000002955,ORF|Uncharacterized,75,15.91,,,,,,,0,0,0,,,,,,,,,0.24,,,24170,7.61,0.108,216,0.06,0.435,-0.296759,0.050926,54,0.25
YEL077C,YEL077C,6320756,,S000006409,ORF|Uncharacterized,397,100.05,,,,,,,0,0,0,,,,,,,,4.2,0.36,2.28,,143091,7.14,0.105,1277,0.052,0.433,-0.443461,0.084573,369,0.29
YER001W,MNN1,6320837,,S000000803,ORF|Verified,274,72.61,,,,,,,0,0,0,,90.5,98.7814955,1780,,,,1.6,1.05,1.325,,88529,7.23,0.164,762,0.05,0.446,-0.568898,0.12336,175,0.23
YER002W,NOP16,6320838,,S000000804,ORF|Verified,116,19.33,,,,1,0.49,2079,0,4.96E-05,2.61E-05,0.95,351,286.5,2860,,,,3.4,2.61,3.005,,26901,10.07,0.18,231,0.114,0.478,-1.242424,0.056277,51,0.22
YER003C,PMI40,6320839,,S000000805,ORF|Verified,136,37.22,8,0.96,19185,10,1,22030,0.000441501,0.000495688,0.000470048,0.24,704.5,525.5,5220,,12202.50917,1,2.5,2.23,1.91,6389,48188,5.86,0.288,429,0.288,0.578,-0.48951,0.088578,102,0.24
YER004W,YER004W,6320840,,S000000806,ORF|Uncharacterized,79,25.87,,,,,,,0,0,0,,162.5,128.5,1340,,,1,2.2,2.18,1.793333333,,25086,10.03,0.119,231,0.132,0.465,-0.124675,0.069264,45,0.19
YER005W,YND1,6320841,,S000000807,ORF|Verified,174,44.84,,,,1,0.24,439,0,4.96E-05,2.61E-05,0.95,,,450,,,,1.1,0.83,0.965,,71851,6.19,0.119,630,0.005,0.406,-0.443175,0.11746,143,0.23
YER006W,NUG1,6320842,,S000000808,ORF|Verified,207,50.62,,,,2,0.6,1944,0,9.91E-05,5.22E-05,1.34,559,322.5,7130,,,6,2.6,3.49,4.03,,57708,9.64,0.21,520,0.215,0.526,-0.576346,0.051923,130,0.25
YER007C-A,YER007C-A,6320844,,S000002957,ORF|Uncharacterized,67,18.17,,,,,,,0,0,0,,434.5,259.5,4220,,,9,,1.9,5.45,,20277,7.05,0.235,181,0.197,0.534,-0.18453,0.071823,44,0.24
YER007W,PAC2,6320843,,S000000809,ORF|Verified,176,45.07,,,,,,,0,0,0,,,,2140,,,,0.2,,,,59257,8.91,0.123,518,0.037,0.439,-0.373745,0.096525,118,0.23
YER008C,SEC3,6320845,,S000000810,ORF|Verified,426,106.24,,,,,,,0,0,0,,153.5,59.4684295,377,,,1,0.4,1.58,0.993333333,,154694,5.24,0.149,1336,0.088,0.467,-0.694611,0.074102,395,0.3
YER009W,NTF2,6320846,,S000000811,ORF|Verified,24,7.48,2,0.99,24612,2,0.98,21485,0.000110375,9.91E-05,0.000104455,-0.11,,,,,,9,12.1,1.51,7.536666667,,14453,4.35,0.326,125,0.357,0.623,-0.3872,0.128,27,0.22
YER010C,YER010C,6320847,,S000000812,ORF|Uncharacterized,50,12.56,,,,,,,0,0,0,,,,846,,,,0.8,1.52,1.16,,25563,7.43,0.117,234,0.042,0.437,-0.055983,0.07265,54,0.23
YER011W,TIR1,6320848,,S000000813,ORF|Verified,35,13.59,,,,,,,0,0,0,,,,623,,,1,10.8,3.68,5.16,,24906,4.49,0.609,254,0.693,0.805,0.022835,0.03937,101,0.4
YER012W,PRE1,6320849,,S000000814,ORF|Verified,60,14.28,,,,,,,0,0,0,,,,21800,,,6,6.2,3.06,5.086666667,,22516,6.15,0.204,198,0.168,0.508,-0.360606,0.090909,41,0.21
YER013W,PRP22,6320850,,S000000815,ORF|Verified,402,107.63,6,0.89,4613,,,,0.000331126,0,0.000156683,-2.58,,,907,,2760.009716,,0.3,1.07,0.685,4029,130010,7.79,0.13,1145,0.016,0.427,-0.471528,0.070742,281,0.25
YER014C-A,BUD25,13112038,,S000007590,ORF|Uncharacterized,36,10.17,,,,,,,0,0,0,,,,,,,,,,,,18006,7.38,0.184,153,0.185,0.535,-0.043137,0.176471,38,0.25
YER014W,HEM14,6320851,,S000000816,ORF|Verified,184,57.76,,,,,,,0,0,0,,,,5350,,,,0.4,2.01,1.205,,59702,10.05,0.124,539,0.086,0.449,-0.319666,0.072356,118,0.22
YER015W,FAA2,6320852,,S000000817,ORF|Verified,234,62.79,4,0.93,5508,,,,0.000220751,0,0.000104455,-2.11,,,358,,2933.227615,1,0.1,0,0.366666667,8000,83437,7.7,0.166,744,0.078,0.45,-0.172312,0.096774,184,0.25
YER016W,BIM1,6320853,,S000000818,ORF|Verified,88,27.33,,,,,,,0,0,0,,66.5,63,3630,,,,1.1,1.86,1.48,,38361,5.16,0.101,344,-0.064,0.379,-0.616279,0.078488,89,0.26
YER017C,AFG3,6320854,,S000000819,ORF|Verified,262,67.43,,,,4,0.37,1800,0,0.000198275,0.000104455,1.9,123.5,171.050283,3870,,,,1,0.85,0.925,,84543,9.94,0.14,761,0.115,0.464,-0.362943,0.078844,179,0.24
YER018C,SPC25,6320855,,S000000820,ORF|Verified,70,22.87,,,,,,,0,0,0,,,,3280,,,,0.2,0.56,0.38,,25244,6.91,0.064,221,-0.031,0.352,-0.568778,0.049774,38,0.17
YER019C-A,SBH2,6320857,,S000002127,ORF|Verified,29,6.95,,,,,,,0,0,0,,378,219.6591858,414,,,,,4.4,,,9606,11.24,0.206,88,0.357,0.609,0.030682,0.079545,21,0.24
YER019W,ISC1,6320856,,S000000821,ORF|Verified,131,28,,,,,,,0,0,0,,,,2170,,,,1.1,,,,53940,7.5,0.134,477,0.161,0.492,-0.205241,0.102725,108,0.23
YER020W,GPA2,6320858,,S000000822,ORF|Verified,124,40.04,,,,2,0.59,2416,0,9.91E-05,5.22E-05,1.34,164.5,168,4570,,,3,1.2,0.69,1.63,,50447,6.39,0.1,449,0.06,0.446,-0.543653,0.075724,117,0.26
YER021W,RPN3,6320859,,S000000823,ORF|Verified,166,44.92,,,,,,,0,0,0,,,,16700,,,3,3,2.59,2.863333333,,60392,5.37,0.183,523,0.119,0.483,-0.343404,0.089866,125,0.24
YER022W,SRB4,6320860,,S000000824,ORF|Verified,242,65.68,2,0.5,1416,,,,0.000110375,0,5.22E-05,-1.49,130,112,3650,,2532.80598,,2,1.19,1.595,,78475,5.08,0.151,687,0.031,0.438,-0.565357,0.05968,183,0.27
YER023W,PRO3,6320861,,S000000825,ORF|Verified,59,12.6,1,0.34,2509,3,0.57,11128,5.52E-05,0.000148706,0.000104455,0.89,612.5,563.5,43500,,23004.4569,3,2.1,2.45,2.516666667,,30132,5.29,0.21,286,0.278,0.565,0.109441,0.048951,76,0.27
YER024W,YAT2,6320862,,S000000826,ORF|Verified,283,75.65,,,,1,0.21,228,0,4.96E-05,2.61E-05,0.95,,,319,,,1,0.6,0.81,0.803333333,,103333,6.25,0.149,923,0.066,0.446,-0.507692,0.076923,244,0.26
YER025W,GCD11,6320863,,S000000827,ORF|Verified,172,41.65,2,0.55,2456,,,,0.000110375,0,5.22E-05,-1.49,,,20800,,11627.79271,4,5.8,3.57,4.456666667,,57865,6.77,0.333,527,0.376,0.632,-0.226945,0.045541,127,0.24
YER026C,CHO1,6320864,,S000000828,ORF|Verified,58,12.76,,,,,,,0,0,0,,,,,,,10,1.3,1.35,4.216666667,,30804,6.23,0.177,276,0.147,0.487,0.164855,0.115942,62,0.22
