ORF,Gene,Description,Number of peptides,glucose,maltose,oleate,fructose,sucrose,trehalose,lactate,acetate,pryuvate,glycerol
YOR209C,NPT1,"Nicotinate phosphoribosyltransferase, acts in the salvage pathway of NAD+ biosynthesis; required for silencing at rDNA and telomeres and has a role in silencing at mating-type loci; localized to the nucleus",70,13529.200,10845.400,12540.800,12737.000,12912.100,11097.400,11589.500,8929.040,13681.400,13389.800
YBL066C,SEF1,"Putative transcription factor, has homolog in Kluyveromyces lactis",38,2074.160,5019.860,5925.460,2370.890,2875.090,6771.370,5974.760,7407.020,8371.600,8594.270
YOR287C,RRP36,Component of 90S preribosomes; involved in early cleavages of the 35S pre-rRNA and in production of the 40S ribosomal subunit,16,4620.860,1364.460,1872.480,4090.210,4382.650,1644.400,1939.590,876.014,2043.490,2248.460
YKR076W,ECM4,Omega class glutathione transferase; not essential; similar to Ygr154cp; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm,39,1548.390,20217.000,13722.600,1795.340,1604.520,14826.400,15945.200,5552.420,7682.040,10732.100
YLR340W,RPP0,"Conserved ribosomal protein P0 of the ribosomal stalk, which is involved in interaction between translational elongation factors and the ribosome; similar to rat P0, human P0, and E. coli L10e; phosphorylated on serine 302",211,67830.800,34229.900,33073.800,69392.300,67885.800,33898.200,32278.100,45637.000,40098.100,36986.800
YPR110C,RPC40,"RNA polymerase subunit AC40, common to RNA polymerase I and III",44,10409.800,5987.350,6137.080,10550.000,11298.900,6132.050,6153.370,7915.360,7663.720,6982.130
YDL204W,RTN2,Protein of unknown function; has similarity to mammalian reticulon proteins; member of the RTNLA (reticulon-like A) subfamily,71,1141.330,74827.500,7058.970,720.773,969.118,31238.700,22564.800,3134.630,4764.260,11844.800
YKL032C,IXR1,"Protein that binds DNA containing intrastrand cross-links formed by cisplatin, contains two HMG (high mobility group box) domains, which confer the ability to bend cisplatin-modified DNA; mediates aerobic transcriptional repression of COX5b",25,5780.150,5657.580,8334.560,6008.010,5848.450,8900.970,6641.840,6994.640,7682.140,7674.210
YJL104W,PAM16,Constituent of the import motor (PAM complex) component of the Translocase of the Inner Mitochondrial membrane (TIM23 complex); forms a 1:1 subcomplex with Pam18p and inhibits its cochaperone activity; contains a J-like domain,18,3529.140,3376.230,3636.600,4577.890,4647.210,4066.350,3491.180,9095.400,4883.660,5118.350
YGL065C,ALG2,Mannosyltransferase that catalyzes two consecutive steps in the N-linked glycosylation pathway; alg2 mutants exhibit temperature-sensitive growth and abnormal accumulation of the lipid-linked oligosaccharide Man2GlcNAc2-PP-Dol,28,5504.380,5172.570,5822.190,6179.800,5740.150,5836.690,5322.120,4945.630,5510.940,6252.760
YJR069C,HAM1,"Conserved protein with deoxyribonucleoside triphosphate pyrophosphohydrolase activity, mediates exclusion of noncanonical purines from deoxyribonucleoside triphosphate pools; mutant is sensitive to the base analog 6-N-hydroxylaminopurine",24,8331.870,4419.550,4334.600,7705.450,7935.160,5085.430,4189.710,2861.150,4745.710,4661.060
YHR028C,DAP2,"Dipeptidyl aminopeptidase, synthesized as a glycosylated precursor; localizes to the vacuolar membrane; similar to Ste13p",32,6893.650,10573.500,6916.650,5772.510,4973.060,7003.790,8431.920,2772.700,5047.700,7325.240
YOR084W,LPX1,"Oleic acid-inducible, peroxisomal matrix localized lipase; transcriptionally activated by Yrm1p along with genes involved in multidrug resistance; peroxisomal import is dependent on the PTS1 receptor, Pex5p and on self-interaction",34,358.204,3265.310,30977.700,489.202,199.344,3949.480,3514.340,5055.410,2701.100,7148.540
YNL118C,DCP2,"Catalytic subunit of the Dcp1p-Dcp2p decapping enzyme complex, which removes the 5' cap structure from mRNAs prior to their degradation; member of the Nudix hydrolase family",77,16101.900,12595.100,14891.500,16541.400,17075.500,16318.300,14945.300,17386.500,16663.700,15283.700
YLR412W,BER1,"Protein involved in microtubule-related processes, N-acetylation; GFP-fusion protein localizes to the cytoplasm and is induced in response to the DNA-damaging agent MMS; YLR412W is not an essential gene; similar to Arabidopsis SRR1 gene",8,1474.100,1598.540,1522.070,1801.120,1818.680,1792.330,1989.710,1071.260,1711.830,1577.630
YER031C,YPT31,"Rab family GTPase, very similar to Ypt32p; involved in the exocytic pathway; mediates intra-Golgi traffic or the budding of post-Golgi vesicles from the trans-Golgi",39,9258.330,6800.790,6641.370,9123.590,8733.070,8026.460,6953.750,7739.500,7779.790,9587.350
YGL210W,YPT32,"Rab family GTPase, very similar to Ypt31p; involved in the exocytic pathway; mediates intra-Golgi traffic or the budding of post-Golgi vesicles from the trans-Golgi",16,2125.140,2902.670,2639.640,2607.340,1839.530,3197.570,3133.890,3463.680,2646.380,3794.580
YMR204C,INP1,Peripheral membrane protein of peroxisomes involved in peroxisomal inheritance; recruitment to peroxisomes is mediated by interaction with Pex3p at the peroxisomal membrane,4,311.269,381.695,347.693,317.206,270.802,457.646,406.319,342.519,374.528,409.471
YLR149C,YLR149C,Putative protein of unknown function; overexpression causes a cell cycle delay or arrest; null mutation results in a decrease in plasma membrane electron transport; YLR149C is not an essential gene,15,939.205,1954.040,2672.770,903.161,664.802,2587.230,2279.710,1693.160,1752.950,2682.680
YIL019W,FAF1,Protein required for pre-rRNA processing and 40S ribosomal subunit assembly,5,1963.420,133.290,411.691,1645.900,1987.670,251.508,292.902,346.513,512.710,441.165
YLR193C,UPS1,"Mitochondrial intermembrane space protein that regulates mitochondrial cardiolipin levels, null has defects in Mgm1p processing, integrity of mitochondrial inner membrane complexes, and mitochondrial morphology; ortholog of human PRELI",3,395.556,306.154,354.694,563.793,607.577,297.211,317.121,162.640,669.472,638.239
YNL275W,BOR1,"Boron efflux transporter of the plasma membrane; binds HCO3-, I-, Br-, NO3- and Cl-; has similarity to the characterized boron efflux transporter A. thaliana BOR1",3,540.367,145.013,144.009,275.947,196.065,158.209,149.019,225.753,157.251,205.025
YJR144W,MGM101,"Protein involved in mitochondrial genome maintenance; component of the mitochondrial nucleoid, required for the repair of oxidative mtDNA damage",32,4284.060,7357.750,10212.000,4756.370,5618.170,9075.040,10151.900,12177.300,9326.500,9727.360
YOL135C,MED7,Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for transcriptional regulation,7,777.189,593.150,615.580,867.515,833.305,686.355,678.820,775.740,762.315,823.550
YPL061W,ALD6,"Cytosolic aldehyde dehydrogenase, activated by Mg2+ and utilizes NADP+ as the preferred coenzyme; required for conversion of acetaldehyde to acetate; constitutively expressed; locates to the mitochondrial outer surface upon oxidative stress",236,40778.100,27238.000,42529.500,43626.700,34310.600,36863.100,48455.700,34940.100,76680.100,39246.800
YML085C,TUB1,"Alpha-tubulin; associates with beta-tubulin (Tub2p) to form tubulin dimer, which polymerizes to form microtubules",75,12962.700,13108.500,15620.100,13997.800,13931.800,15985.000,14166.600,14290.400,14457.000,14435.200
YML124C,TUB3,"Alpha-tubulin; associates with beta-tubulin (Tub2p) to form tubulin dimer, which polymerizes to form microtubules; expressed at lower level than Tub1p",20,4810.530,2937.770,4111.970,5280.270,5860.980,3535.390,3673.400,4215.050,4651.710,4276.810
YOR324C,FRT1,"Tail-anchored ER membrane protein that is a substrate of the phosphatase calcineurin; interacts with homolog Frt2p; promotes cell growth in stress conditions, possibly via a role in posttranslational translocation",16,1464.820,998.066,1970.850,1342.400,1359.070,1496.520,2450.720,579.384,1679.450,1880.470
YNL256W,FOL1,"Multifunctional enzyme of the folic acid biosynthesis pathway, has dihydropteroate synthetase, dihydro-6-hydroxymethylpterin pyrophosphokinase, and dihydroneopterin aldolase activities",30,6606.550,5365.740,3731.050,7529.160,6347.620,4361.380,3692.740,3947.860,3588.640,4742.230
YJR034W,PET191,Protein required for assembly of cytochrome c oxidase; exists as an oligomer that is integral to the mitochondrial inner membrane and faces the intermembrane space; contains a twin Cx9C motif,15,4401.030,2963.010,2780.130,4716.630,5554.850,4213.180,4158.260,4949.850,4461.390,6282.340
YGR163W,GTR2,Putative GTP binding protein that negatively regulates Ran/Tc4 GTPase cycle; activates transcription; subunit of EGO and GSE complexes; required for sorting of Gap1p; localizes to cytoplasm and to chromatin; homolog of human RagC and RagD,8,2110.020,2115.110,2049.340,1906.200,2019.940,1928.190,2596.690,1909.470,2459.620,2317.880
YNL246W,VPS75,"NAP family histone chaperone; binds to histones and Rtt109p, stimulating histone acetyltransferase activity; possesses nucleosome assembly activity in vitro; proposed role in vacuolar protein sorting and in double-strand break repair",15,4176.990,4536.330,4215.410,4192.910,4069.770,4638.490,3926.440,3375.070,3381.620,4285.900
YER056C-A,RPL34A,"Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl34Bp and has similarity to rat L34 ribosomal protein",40,15202.600,3782.360,5243.360,12648.000,14203.800,3921.130,5744.370,5708.370,8830.710,6145.980
YDL001W,RMD1,Cytoplasmic protein required for sporulation,19,2384.050,2910.520,3483.000,2338.200,2428.080,3211.550,4017.500,6368.890,4411.050,3237.230
YDL167C,NRP1,Putative RNA binding protein of unknown function; localizes to stress granules induced by glucose deprivation; predicted to be involved in ribosome biogenesis,30,8858.980,2344.630,3386.430,8625.210,9168.080,3431.530,2649.050,2053.310,3945.560,4871.330
YJL210W,PEX2,"RING-finger peroxin and E3 ubiquitin ligase, peroxisomal membrane protein with a C-terminal zinc-binding RING domain, forms translocation subcomplex with Pex10p and Pex12p which functions in peroxisomal matrix protein import",9,479.312,748.307,734.027,524.242,478.303,720.570,834.900,467.430,677.008,572.000
YBR247C,ENP1,"Protein associated with U3 and U14 snoRNAs, required for pre-rRNA processing and 40S ribosomal subunit synthesis; localized in the nucleus and concentrated in the nucleolus",35,10335.400,3499.120,4337.070,9344.000,10203.800,3750.310,4420.410,3079.010,5001.020,4619.990
YNL080C,EOS1,Protein involved in N-glycosylation; deletion mutation confers sensitivity to exidative stress and shows synthetic lethality with mutations in the spindle checkpoint genes BUB3 and MAD1; YNL080C is not an essential gene,9,921.966,792.630,1106.660,912.564,927.837,889.114,937.300,683.340,1107.780,917.544
YOL040C,RPS15,Protein component of the small (40S) ribosomal subunit; has similarity to E. coli S19 and rat S15 ribosomal proteins,65,19791.200,8176.120,8754.220,18618.800,17806.800,8064.640,8638.180,8968.830,10696.800,8662.700
YDL010W,GRX6,Cis-golgi localized monothiol glutaredoxin that binds an iron-sulfur cluster; more similar in activity to dithiol than other monothiol glutaredoxins; involved in the oxidative stress response; functional overlap with GRX7,10,1572.340,977.477,1491.260,1479.330,1516.230,1216.850,1510.360,1033.820,1594.870,1731.980
YFR024C-A,LSB3,"Protein containing a C-terminal SH3 domain; binds Las17p, which is a homolog of human Wiskott-Aldrich Syndrome protein involved in actin patch assembly and actin polymerization",35,5421.680,6491.500,6295.580,5241.050,5475.430,6460.630,6378.840,9483.750,6931.510,6020.790
YHR016C,YSC84,Actin-binding protein involved in bundling of actin filaments and endocytosis of actin cortical patches; activity stimulated by Las17p; contains SH3 domain similar to Rvs167p,18,1646.010,3247.020,3263.480,1709.930,1655.330,3285.380,3265.470,3773.660,2777.780,2560.830
YLR033W,RSC58,"Component of the RSC chromatin remodeling complex; RSC functions in transcriptional regulation and elongation, chromosome stability, and establishing sister chromatid cohesion; involved in telomere maintenance",30,3937.690,2823.140,3202.200,4235.900,4390.850,3338.860,3418.530,4053.140,3537.240,3416.890
YMR004W,MVP1,Protein required for sorting proteins to the vacuole; overproduction of Mvp1p suppresses several dominant VPS1 mutations; Mvp1p and Vps1p act in concert to promote membrane traffic to the vacuole,25,5306.660,5259.760,4977.420,5294.280,5175.060,5190.460,5264.720,4489.910,4643.730,5548.850
YOR085W,OST3,"Gamma subunit of the oligosaccharyltransferase complex of the ER lumen, which catalyzes asparagine-linked glycosylation of newly synthesized proteins; Ost3p is important for N-glycosylation of a subset of proteins",12,2969.800,2053.910,2403.740,2764.920,2665.380,2424.940,2355.870,2068.010,2315.740,2340.440
YJL096W,MRPL49,Mitochondrial ribosomal protein of the large subunit,9,1659.640,2265.640,2407.560,1839.460,2368.360,2786.920,2316.260,4134.130,3076.320,3206.520
YGL106W,MLC1,"Essential light chain for Myo1p, light chain for Myo2p; stabilizes Myo2p by binding to the neck region; interacts with Myo1p, Iqg1p, and Myo2p to coordinate formation and contraction of the actomyosin ring with targeted membrane deposition",24,9513.980,2248.790,3779.770,8209.420,9001.430,3607.850,4786.050,3716.440,5416.050,4266.680
YCL050C,APA1,"Diadenosine 5',5''-P1,P4-tetraphosphate phosphorylase I (AP4A phosphorylase), involved in catabolism of bis(5'-nucleosidyl) tetraphosphates; has similarity to Apa2p",50,20104.600,8981.840,8978.390,19584.000,19177.500,10481.400,8822.310,6839.710,9739.790,9496.930
YBR125C,PTC4,Cytoplasmic type 2C protein phosphatase (PP2C); identified as a high-copy number suppressor of cnb1 mpk1 synthetic lethality; overexpression decreases high-osmolarity induced Hog1p phosphorylation and kinase activity,28,3733.570,3749.600,5186.380,3668.570,4271.980,4062.870,4365.460,4826.270,4554.710,4448.150
YMR250W,GAD1,"Glutamate decarboxylase, converts glutamate into gamma-aminobutyric acid (GABA) during glutamate catabolism; involved in response to oxidative stress",40,2515.000,24456.700,7218.150,4229.220,1939.940,16899.500,14994.300,6259.400,8879.180,12906.000
YJL165C,HAL5,"Putative protein kinase; overexpression increases sodium and lithium tolerance, whereas gene disruption increases cation and low pH sensitivity and impairs potassium uptake, suggesting a role in regulation of Trk1p and/or Trk2p transporters",34,4968.170,6066.680,6067.840,5251.190,5326.480,6562.770,6441.860,8657.320,6424.880,5861.070
YBR133C,HSL7,"Protein arginine N-methyltransferase that exhibits septin and Hsl1p-dependent bud neck localization and periodic Hsl1p-dependent phosphorylation; required along with Hsl1p for bud neck recruitment, phosphorylation, and degradation of Swe1p",20,5284.610,3056.130,2845.910,4981.720,5561.830,3581.740,3300.300,2471.820,3092.790,3272.760
YMR203W,TOM40,Component of the TOM (translocase of outer membrane) complex responsible for recognition and initial import steps for all mitochondrially directed proteins; constitutes the core element of the protein conducting pore,25,3793.940,3721.070,4664.950,3724.330,3920.880,3995.790,4096.200,5501.450,4483.880,4505.770
YHR159W,TDA11,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; potential Cdc28p substrate; null mutant is sensitive to expression of the top1-T722A allele,13,2193.940,1822.700,1867.090,1846.810,1880.720,1902.580,2154.400,1468.900,2097.050,2025.710
YIL047C,SYG1,Plasma membrane protein of unknown function; truncation and overexpression suppresses lethality of G-alpha protein deficiency,26,4962.460,2243.080,2250.930,5543.550,5472.430,2437.980,3761.330,2146.550,3255.880,2740.470
YDL224C,WHI4,Putative RNA binding protein and partially redundant Whi3p homolog that regulates the cell size requirement for passage through Start and commitment to cell division,25,3510.020,2793.960,2768.260,3543.810,3643.280,3303.210,3053.190,2077.230,3166.700,3271.260
YBL098W,BNA4,"Kynurenine 3-mono oxygenase, required for the de novo biosynthesis of NAD from tryptophan via kynurenine; expression regulated by Hst1p; putative therapeutic target for Huntington disease",34,2896.490,4124.890,5949.130,3922.530,3589.550,5228.790,5976.480,12042.900,7820.870,5375.140
YCL012C,YCL012C,"Putative protein of unknown function; orthologs are present in S. bayanus, S. paradoxus and Ashbya gossypii; YCL012C is not an essential gene",12,2875.660,4021.940,3957.140,2816.920,2737.860,3106.320,3529.580,2810.200,3711.610,3292.140
YMR178W,YMR178W,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to both the cytoplasm and nucleus and is induced in response to the DNA-damaging agent MMS; YMR178W is not an essential gene,31,9863.460,7034.960,5462.500,10754.000,10318.800,7066.650,6537.010,7008.320,6728.170,6513.560
YPL023C,MET12,Protein with methylenetetrahydrofolate reductase (MTHFR) activity in vitro; null mutant has no phenotype and is prototrophic for methionine; MET13 encodes major isozyme of MTHFR,51,6550.700,10574.300,9622.920,7118.810,7369.180,10094.100,10574.300,9429.940,9421.120,9477.870
YBR151W,APD1,"Protein of unknown function, required for normal localization of actin patches and for normal tolerance of sodium ions and hydrogen peroxide; localizes to both cytoplasm and nucleus",27,4191.100,6559.280,6701.670,5159.350,5046.760,7515.270,5787.120,4866.150,6030.560,6320.030
YDR514C,YDR514C,Protein of unknown function that localizes to mitochondria; overexpression of YDR514C affects endocytic protein trafficking,12,2184.110,1231.760,1485.640,2361.340,2745.270,1293.650,1378.800,1491.510,2172.810,1842.570
YPL239W,YAR1,"Cytoplasmic ankyrin-repeat containing protein of unknown function, proposed to link the processes of 40S ribosomal subunit biogenesis and adaptation to osmotic and oxidative stress; expression repressed by heat shock",13,2023.340,2156.740,4562.510,5269.550,5764.520,2079.650,4467.080,3215.950,2496.850,3413.530
YPR088C,SRP54,"Signal recognition particle (SRP) subunit (homolog of mammalian SRP54); contains the signal sequence-binding activity of SRP, interacts with the SRP RNA, and mediates binding of SRP to signal receptor; contains GTPase domain",54,12080.100,7667.880,8627.310,11344.400,12753.500,8143.370,8017.370,7479.470,8694.320,7799.600
YKL080W,VMA5,"Subunit C of the eight-subunit V1 peripheral membrane domain of vacuolar H+-ATPase (V-ATPase), an electrogenic proton pump found throughout the endomembrane system; required for the V1 domain to assemble onto the vacuolar membrane",45,16699.700,10410.400,9094.400,15593.400,15338.600,10388.400,9527.930,12006.800,9307.920,10389.200
YCL001W,RER1,"Protein involved in retention of membrane proteins, including Sec12p, in the ER; localized to Golgi; functions as a retrieval receptor in returning membrane proteins to the ER",22,6234.080,5844.320,5172.060,6348.480,5648.140,6199.760,6302.900,4742.780,5282.020,6441.860
YJL068C,YJL068C,"Non-essential intracellular esterase that can function as an S-formylglutathione hydrolase; may be involved in the detoxification of formaldehyde, which can be metabolized to S-formylglutathione; similar to human esterase D",28,3155.570,12358.200,9104.410,4103.260,3530.480,11689.700,11020.700,6062.670,9150.790,8655.590
YBR101C,FES1,"Hsp70 (Ssa1p) nucleotide exchange factor, cytosolic homolog of Sil1p, which is the nucleotide exchange factor for BiP (Kar2p) in the endoplasmic reticulum",31,7322.550,10487.800,8800.260,7108.360,7226.960,8833.820,7420.880,4412.060,7206.640,7682.280
YLL058W,YLL058W,"Putative protein of unknown function with similarity to Str2p, which is a cystathionine gamma-synthase important in sulfur metabolism; YLL058W is not an essential gene",18,4128.800,2767.280,3285.030,4364.170,3790.380,3252.960,2735.820,2569.680,2692.710,4432.540
YPR034W,ARP7,Component of both the SWI/SNF and RSC chromatin remodeling complexes; actin-related protein involved in transcriptional regulation,40,8653.210,7380.920,7502.410,8525.290,8711.620,7726.420,8033.040,12378.700,7615.020,7221.270
YKR026C,GCN3,"Alpha subunit of the translation initiation factor eIF2B, the guanine-nucleotide exchange factor for eIF2; activity subsequently regulated by phosphorylated eIF2; first identified as a positive regulator of GCN4 expression",18,3879.770,2727.050,2084.730,4861.950,5464.880,3399.310,2497.500,3173.220,3072.940,2984.590
YPR033C,HTS1,Cytoplasmic and mitochondrial histidine tRNA synthetase; efficient mitochondrial localization requires both a presequence and an amino-terminal sequence; mutations in human ortholog HARS2 are associated with Perrault syndrome,85,22349.800,14050.500,15690.900,21391.400,23794.300,13833.500,12733.000,17257.500,17822.500,13838.000
YMR040W,YET2,"Protein of unknown function that may interact with ribosomes, based on co-purification experiments; homolog of human BAP31 protein",4,160.842,585.196,360.061,153.961,151.908,474.095,525.559,441.757,428.768,495.196
YPL180W,TCO89,"Subunit of TORC1 (Tor1p or Tor2p-Kog1p-Lst8p-Tco89p), a complex that regulates growth in response to nutrient availability; cooperates with Ssd1p in the maintenance of cellular integrity; deletion strains are hypersensitive to rapamycin",33,5361.070,6850.090,6188.040,5597.340,5789.470,8347.980,6229.470,8589.900,7103.730,6686.280
YPL254W,HFI1,"Adaptor protein required for structural integrity of the SAGA complex, a histone acetyltransferase-coactivator complex that is involved in global regulation of gene expression through acetylation and transcription functions",21,2288.560,2022.390,2483.430,2233.990,2423.570,2557.080,2572.420,2889.270,2778.100,2534.160
YGR200C,ELP2,"Subunit of Elongator complex, which is required for modification of wobble nucleosides in tRNA; target of Kluyveromyces lactis zymocin",54,10915.700,9721.770,9961.040,11708.400,11810.100,10034.900,10929.100,8744.600,11124.900,10424.600
YER105C,NUP157,"Abundant subunit of the nuclear pore complex (NPC), present on both sides of the NPC; has similarity to Nup170p; essential role, with Nup170p, in NPC assembly",88,19931.100,16497.900,15971.900,18761.500,19721.100,16137.500,18065.900,16044.600,16987.600,16380.600
YNR015W,SMM1,"Dihydrouridine synthase, member of a family of dihydrouridine synthases including Dus1p, Smm1p, Dus3p, and Dus4p; modifies uridine residues at position 20 of cytoplasmic tRNAs",23,3674.570,2047.110,3181.190,3629.320,4117.360,2296.670,2500.370,3482.150,4037.780,3722.810
YDR450W,RPS18A,Protein component of the small (40S) ribosomal subunit; nearly identical to Rps18Bp and has similarity to E. coli S13 and rat S18 ribosomal proteins,123,30142.700,13996.400,13815.600,30269.500,31386.900,12595.600,11871.000,11074.000,17322.700,13095.000
YBR227C,MCX1,Mitochondrial matrix protein; putative ATP-binding chaperone with non-proteolytic function; similar to bacterial ClpX proteins,37,8768.880,7789.170,8076.410,8289.100,9044.990,7883.410,8403.060,11335.600,8391.770,7933.220
YBR043C,QDR3,"Multidrug transporter of the major facilitator superfamily, has a role in polyamine homeostasis; expression is upregulated under polyamine stress; required for resistance to quinidine, barban, cisplatin, and bleomycin",12,809.005,1270.660,1954.980,738.505,590.331,1538.940,1867.910,1717.000,1644.690,2214.520
YER125W,RSP5,"E3 ubiquitin ligase of the NEDD4 family; involved in regulating many cellular processes including MVB sorting, heat shock response, transcription, endocytosis, and ribosome stability; human homolog is involved in Liddle syndrome; mutant tolerates aneuploidy",80,13819.400,16759.700,14998.900,15127.100,14847.300,18535.600,13412.200,16164.700,14384.600,15937.200
YFL039C,ACT1,"Actin, structural protein involved in cell polarization, endocytosis, and other cytoskeletal functions",367,53075.000,77021.500,67168.200,58036.100,51894.500,63957.400,56348.500,59212.300,58977.900,65730.000
YBR041W,FAT1,Very long chain fatty acyl-CoA synthetase and long chain fatty acid transporter; activates imported fatty acids with a preference for very long lengths (C20-C26); has a separate function in the transport of long chain fatty acids,36,7328.480,4586.470,5491.200,7701.680,6988.730,5091.090,4798.000,5253.280,4559.210,5403.200
YKR093W,PTR2,"Integral membrane peptide transporter, mediates transport of di- and tri-peptides; conserved protein that contains 12 transmembrane domains; PTR2 expression is regulated by the N-end rule pathway via repression by Cup9p",22,2587.910,1359.530,9623.250,3224.820,2708.220,2992.760,3462.810,667.643,1486.450,4594.540
YPL020C,ULP1,Protease that specifically cleaves Smt3p protein conjugates; required for cell cycle progression; associates with nucleoporins and may interact with septin rings during telophase; sequestered to the nucleolus under stress conditions,32,4449.070,4080.880,4546.820,3996.060,4228.260,4214.460,4804.120,4817.750,5103.750,4091.370
YJR125C,ENT3,Protein containing an N-terminal epsin-like domain involved in clathrin recruitment and traffic between the Golgi and endosomes; associates with the clathrin adaptor Gga2p,43,9229.610,9339.410,10925.200,9443.750,9156.120,11495.500,8788.550,7301.260,11362.100,12093.300
YNL059C,ARP5,"Nuclear actin-related protein involved in chromatin remodeling, component of chromatin-remodeling enzyme complexes",42,7572.170,6499.050,6763.770,7871.350,7889.380,7690.450,6886.030,7516.930,7126.990,6810.900
YBR058C,UBP14,"Ubiquitin-specific protease that specifically disassembles unanchored ubiquitin chains; involved in fructose-1,6-bisphosphatase (Fbp1p) degradation; similar to human isopeptidase T",51,6818.680,10410.900,10314.100,6881.370,6943.170,9941.640,12485.900,7868.770,9484.220,8482.910
YGL163C,RAD54,"DNA-dependent ATPase, stimulates strand exchange by modifying the topology of double-stranded DNA; involved in the recombinational repair of double-strand breaks in DNA during vegetative growth and meiosis; member of the SWI/SNF family",6,453.686,237.059,462.521,475.985,497.137,287.725,458.058,266.903,449.923,396.324
YNL189W,SRP1,"Karyopherin alpha homolog, forms a dimer with karyopherin beta Kap95p to mediate import of nuclear proteins, binds the nuclear localization signal of the substrate during import; may also play a role in regulation of protein degradation",48,12697.700,11291.000,10399.700,13159.700,13149.600,11408.300,10098.800,12875.500,11047.400,10694.400
YGL059W,PKP2,Mitochondrial protein kinase that negatively regulates activity of the pyruvate dehydrogenase complex by phosphorylating the ser-133 residue of the Pda1p subunit; acts in concert with kinase Pkp1p and phosphatases Ptc5p and Ptc6p,20,744.771,4832.590,3523.110,730.586,734.147,4060.200,4725.780,5740.450,3028.300,3217.480
YNR034W-A,YNR034W-A,Putative protein of unknown function; expression is regulated by Msn2p/Msn4p,22,858.207,13330.300,3221.760,561.026,620.525,10538.000,10195.800,1216.530,2052.290,4782.490
YMR314W,PRE5,Alpha 6 subunit of the 20S proteasome,47,6181.160,7218.850,6543.530,6783.200,7063.630,7898.220,6664.100,10564.500,7193.930,7516.110
YLR182W,SWI6,"Transcription cofactor, forms complexes with Swi4p and Mbp1p to regulate transcription at the G1/S transition; involved in meiotic gene expression; cell wall stress induces phosphorylation by Mpk1p, which regulates Swi6p localization",30,4058.600,4399.160,4562.080,4515.940,4404.400,5535.680,4645.450,4459.450,4193.940,5104.190
YDR405W,MRP20,Mitochondrial ribosomal protein of the large subunit,21,2009.650,4220.880,3984.570,3001.150,3665.840,4799.970,3443.980,6203.600,4518.610,5401.400
YGL123W,RPS2,"Protein component of the small (40S) subunit, essential for control of translational accuracy; phosphorylation by C-terminal domain kinase I (CTDK-I) enhances translational accuracy; methylated on one or more arginine residues by Hmt1p",80,26343.600,11870.300,14052.200,24194.400,28151.500,11267.300,12608.100,11500.000,16531.100,11807.500
YPL013C,MRPS16,Mitochondrial ribosomal protein of the small subunit,6,969.700,1510.670,1979.730,947.646,1589.600,1854.130,1269.680,2724.750,1962.600,1608.600
YLR274W,MCM5,"Component of the hexameric MCM complex, which is important for priming origins of DNA replication in G1 and becomes an active ATP-dependent helicase that promotes DNA melting and elongation when activated by Cdc7p-Dbf4p in S-phase",43,6084.890,4572.780,4322.930,7070.600,6822.110,5684.020,4769.000,2728.570,5092.280,6084.500
YBL023C,MCM2,Protein involved in DNA replication; component of the Mcm2-7 hexameric complex that binds chromatin as a part of the pre-replicative complex,54,10401.000,9272.660,9355.320,11510.700,11888.500,10705.500,8886.300,6415.460,9165.910,9218.130
YDR189W,SLY1,Hydrophilic protein involved in vesicle trafficking between the ER and Golgi; SM (Sec1/Munc-18) family protein that binds the tSNARE Sed5p and stimulates its assembly into a trans-SNARE membrane-protein complex,43,10742.700,8630.630,7650.060,10339.400,10211.200,9046.480,8342.640,10043.300,8417.190,8403.420
YNR050C,LYS9,"Saccharopine dehydrogenase (NADP+, L-glutamate-forming); catalyzes the formation of saccharopine from alpha-aminoadipate 6-semialdehyde, the seventh step in lysine biosynthesis pathway; exhibits genetic and physical interactions with TRM112",70,13943.000,10046.500,26207.600,10814.500,11103.300,10696.200,23322.800,7576.820,15867.100,12155.900
YDR147W,EKI1,"Ethanolamine kinase, primarily responsible for phosphatidylethanolamine synthesis via the CDP-ethanolamine pathway; exhibits some choline kinase activity, thus contributing to phosphatidylcholine synthesis via the CDP-choline pathway",22,4992.360,1287.260,1424.390,5359.060,5499.180,1554.280,1867.680,1727.850,2810.650,2701.780
YDR072C,IPT1,"Inositolphosphotransferase, involved in synthesis of mannose-(inositol-P)2-ceramide (M(IP)2C), the most abundant sphingolipid;, can mutate to resistance to the antifungals syringomycin E and DmAMP1 and to K. lactis zymocin",5,1392.240,225.088,917.751,1316.800,1790.750,329.118,512.207,425.181,696.254,851.980
YBR202W,MCM7,"Component of the heterohexameric MCM2-7 complex, which primes origins of DNA replication in G1 and becomes an active ATP-dependent helicase that promotes DNA melting and elongation in S-phase; forms an Mcm4p-6p-7p subcomplex",48,6318.090,4354.800,5464.760,6826.810,6783.550,6912.600,5562.670,3066.270,6234.760,8177.550
