ORF,CommName,Fold,Cont-mean-Int,Cont-SD-Int,MMS-mean-Int,MMS-SD-Int,Localization,Function
YNL064C,YDJ1,1.35,59.83,12.61,80.73,12.7,"cytoplasm,nucleus",Type I HSP40 co-chaperone involved in regulation of the HSP90 and HSP70 functions; involved in protein translocation across membranes; member of the DnaJ family
YNL231C,PDR16,1.35,25.77,8.94,34.76,1.74,lipid particle,"Phosphatidylinositol transfer protein (PITP) controlled by the multiple drug resistance regulator Pdr1p, localizes to lipid particles and microsomes, controls levels of various lipids, may regulate lipid synthesis, homologous to Pdr17p"
YOR063W,RPL3,1.35,184.7,24.28,248.68,13.03,cytoplasm,"Protein component of the large (60S) ribosomal subunit, has similarity to E. coli L3 and rat L3 ribosomal proteins; involved in the replication and maintenance of killer double stranded RNA virus"
YOR107W,RGS2,1.35,5.74,0.77,7.73,0.38,"cytoplasm,nucleus",Negative regulator of glucose-induced cAMP signaling; directly activates the GTPase activity of the heterotrimeric G protein alpha subunit Gpa2p
YOR304W,ISW2,1.35,10.7,1.94,14.49,2.15,nucleus,"ATP-dependent DNA translocase involved in chromatin remodeling; ATPase component that, with Itc1p, forms a complex required for repression of a-specific genes, INO1, and early meiotic genes during mitotic growth"
YOR312C,RPL20B,1.35,41.31,6.32,55.79,6.89,cytoplasm,"Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl20Ap and has similarity to rat L18a ribosomal protein"
YOR327C,SNC2,1.35,13.93,1.59,18.79,4.34,vacuole,Vesicle membrane receptor protein (v-SNARE) involved in the fusion between Golgi-derived secretory vesicles with the plasma membrane; member of the synaptobrevin/VAMP family of R-type v-SNARE proteins
YPL009C,,1.35,18.31,3.08,24.76,0.21,cytoplasm,"Protein of unknown function, involved in protein translation; may interact with ribosomes, based on co-purification experiments; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm"
YPR060C,ARO7,1.35,21.63,3.95,29.23,2.19,"cytoplasm,nucleus","Chorismate mutase, catalyzes the conversion of chorismate to prephenate to initiate the tyrosine/phenylalanine-specific branch of aromatic amino acid biosynthesis"
YPR073C,LTP1,1.35,12.31,2.35,16.57,3.57,"cytoplasm,nucleus",Protein phosphotyrosine phosphatase of unknown cellular role; activated by adenine
YPR114W,,1.35,36.81,6.93,49.57,4.21,ER,Putative protein of unknown function
YBR026C,ETR1,1.34,8.67,3.87,11.59,2.76,mitochondrion,"2-enoyl thioester reductase, member of the medium chain dehydrogenase/reductase family; localized to in mitochondria, where it has a probable role in fatty acid synthesis"
YBR170C,NPL4,1.34,9.69,2.63,13.02,1.25,"cytoplasm,nucleus",Ubiquitin-binding protein involved in protein degradation; Cdc48p-Npl4p-Ufd1p complex participates in ER-associated degradation (ERAD) while Cdc48p-Npl4p-Vms1p complex participates in mitochondria-associated degradation (MAD)
YCR030C,SYP1,1.34,12.85,0.72,17.17,0.99,"bud neck,cell periphery,punctate composite",Protein of unknown function that is involved in endocytic site formation; may regulate assembly and disassembly of the septin ring; colocalizes and interacts with septin subunits; potential role in actin cytoskeletal organization
YDL164C,CDC9,1.34,12.37,3.9,16.63,0.86,"mitochondrion,nucleus","DNA ligase found in the nucleus and mitochondria, an essential enzyme that joins Okazaki fragments during DNA replication; also acts in nucleotide excision repair, base excision repair, and recombination"
YDR193W,,1.34,6.28,1.55,8.38,2.93,"cytoplasm,nucleus","Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data"
YDR301W,CFT1,1.34,8.15,1.06,10.95,1.81,nucleus,"RNA-binding subunit of the mRNA cleavage and polyadenylation factor; involved in poly(A) site recognition and required for both pre-mRNA cleavage and polyadenylation, 51% sequence similarity with mammalian AAUAA-binding subunit of CPSF"
YDR511W,ACN9,1.34,9.27,2.14,12.38,1.34,mitochondrion,"Protein of the mitochondrial intermembrane space, required for acetate utilization and gluconeogenesis; has orthologs in higher eukaryotes"
YDR513W,TTR1,1.34,7.48,0.9,10.01,1.46,nucleus,"Cytoplasmic glutaredoxin, thioltransferase, glutathione-dependent disulfide oxidoreductase involved in maintaining redox state of target proteins, also exhibits glutathione peroxidase activity, expression induced in response to stress"
YDR515W,SLF1,1.34,13.18,1.88,17.69,1.85,cytoplasm,RNA binding protein that associates with polysomes; proposed to be involved in regulating mRNA translation; involved in the copper-dependent mineralization of copper sulfide complexes on cell surface in cells cultured in copper salts
YFR039C,,1.34,7.19,2.67,9.61,1.87,ambiguous,Putative protein of unknown function; may be involved in response to high salt and changes in carbon source; deletion mutant has decreased spore survival in Drosophila feces
YGL068W,MNP1,1.34,34.74,1.23,46.5,5.54,mitochondrion,Protein associated with the mitochondrial nucleoid; putative mitochondrial ribosomal protein with similarity to E. coli L7/L12 ribosomal protein; required for normal respiratory growth
YGR026W,,1.34,45.57,3.5,60.99,3.58,cell periphery,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cell periphery
YIL041W,GVP36,1.34,49.19,10.55,65.98,8.56,cytoplasm,"BAR domain-containing protein that localizes to both early and late Golgi vesicles; required for adaptation to varying nutrient concentrations, fluid-phase endocytosis, polarization of the actin cytoskeleton, and vacuole biogenesis"
YIL070C,MAM33,1.34,27.49,3.43,36.9,9.13,mitochondrion,Acidic protein of the mitochondrial matrix involved in oxidative phosphorylation; related to the human complement receptor gC1q-R
YJL096W,MRPL49,1.34,15.57,2.13,20.81,2.81,mitochondrion,Mitochondrial ribosomal protein of the large subunit
YJR069C,HAM1,1.34,24.83,1.8,33.18,6.34,"cytoplasm,nucleus","Conserved protein with deoxyribonucleoside triphosphate pyrophosphohydrolase activity, mediates exclusion of noncanonical purines from deoxyribonucleoside triphosphate pools; mutant is sensitive to the base analog 6-N-hydroxylaminopurine"
YJR085C,,1.34,13.32,4.46,17.82,6.37,ambiguous,"Putative protein of unknown function; GFP-fusion protein is induced in response to the DNA-damaging agent MMS; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"
YLR100W,ERG27,1.34,12.2,4.33,16.36,2.72,lipid particle,"3-keto sterol reductase, catalyzes the last of three steps required to remove two C-4 methyl groups from an intermediate in ergosterol biosynthesis; mutants are sterol auxotrophs"
YLR208W,SEC13,1.34,53.51,8.7,71.46,4.87,ER to Golgi,"Component of the Nup84 nuclear pore sub-complex, the Sec13p-Sec31p complex of the COPII vesicle coat, and the SEA (Seh1-associated) complex; required for vesicle formation in ER to Golgi transport and nuclear pore complex organization; the Nup84 subcomple"
YLR383W,RHC18,1.34,46.87,46.47,63,74.28,"cytoplasm,nucleus",Component of the SMC5-SMC6 complex; this complex plays a key role in the removal of X-shaped DNA structures that arise between sister chromatids during DNA replication and repair; homologous to S. pombe rad18
YML091C,RPM2,1.34,9.71,4.2,12.98,1.73,mitochondrion,"Protein subunit of mitochondrial RNase P, has roles in nuclear transcription, cytoplasmic and mitochondrial RNA processing, and mitochondrial translation; distributed to mitochondria, cytoplasmic processing bodies, and the nucleus"
YMR256C,COX7,1.34,26.79,3.47,35.81,6.52,mitochondrion,"Subunit VII of cytochrome c oxidase, which is the terminal member of the mitochondrial inner membrane electron transport chain"
YNL246W,VPS75,1.34,12.04,2.12,16.08,0.77,nucleus,"NAP family histone chaperone; binds to histones and Rtt109p, stimulating histone acetyltransferase activity; possesses nucleosome assembly activity in vitro; proposed role in vacuolar protein sorting and in double-strand break repair"
YOR059C,,1.34,8.93,1.82,11.98,1.14,ambiguous,Lipid particle protein of unknown function; contains a putative lipase serine active site; induced by transcription factor RPN4
YOR209C,NPT1,1.34,29.24,3.32,39.04,2.28,"cytoplasm,nucleus","Nicotinate phosphoribosyltransferase, acts in the salvage pathway of NAD+ biosynthesis; required for silencing at rDNA and telomeres and has a role in silencing at mating-type loci; localized to the nucleus"
YOR228C,,1.34,6.79,2.42,9.09,0.8,mitochondrion,"Protein of unknown function, localized to the mitochondrial outer membrane"
YOR230W,WTM1,1.34,49.03,1.68,65.83,2.2,nucleus,"Transcriptional modulator involved in regulation of meiosis, silencing, and expression of RNR genes; required for nuclear localization of the ribonucleotide reductase small subunit Rnr2p and Rnr4p; contains WD repeats"
YPL131W,RPL5,1.34,113.61,4.54,152.67,5.77,cytoplasm,Protein component of the large (60S) ribosomal subunit with similarity to E. coli L18 and rat L5 ribosomal proteins; binds 5S rRNA and is required for 60S subunit assembly
YPL162C,,1.34,12.66,0.75,17.03,1.05,vacuolar membrane,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the membrane of vacuole with cell cycle-correlated morphology
YPL239W,YAR1,1.34,23.26,0.86,31.14,4.22,cytoplasm,"Cytoplasmic ankyrin-repeat containing protein of unknown function, proposed to link the processes of 40S ribosomal subunit biogenesis and adaptation to osmotic and oxidative stress; expression repressed by heat shock"
YPR047W,MSF1,1.34,7.98,2.1,10.72,2.05,mitochondrion,"Mitochondrial phenylalanyl-tRNA synthetase, active as a monomer, unlike the cytoplasmic subunit which is active as a dimer complexed to a beta subunit dimer; similar to the alpha subunit of E. coli phenylalanyl-tRNA synthetase"
YAL019W,FUN30,1.33,11.17,1.23,14.85,3.27,nucleus,"Conserved member of the Snf2p family with ATP-dependent chromatin remodeling activity; has a role in silencing; potential Cdc28p substrate; authentic, non-tagged protein is detected in purified mitochondria in high-throughput studies"
YBL023C,MCM2,1.33,8.36,1.45,11.09,3.23,"cytoplasm,nucleus",Protein involved in DNA replication; component of the Mcm2-7 hexameric complex that binds chromatin as a part of the pre-replicative complex
YCL030C,HIS4,1.33,43.83,10.99,58.34,6.65,cytoplasm,"Multifunctional enzyme containing phosphoribosyl-ATP pyrophosphatase, phosphoribosyl-AMP cyclohydrolase, and histidinol dehydrogenase activities; catalyzes the second, third, ninth and tenth steps in histidine biosynthesis"
YDL002C,NHP10,1.33,16.95,0.89,22.52,3.05,nucleus,"Protein related to mammalian high mobility group proteins; preferentially binds DNA ends, protecting them from exonucleatic cleavage; likely component of the chromatin-remodeling complex INO80 complex; proposed to be involved in DNA repair"
YDL092W,SRP14,1.33,19.65,4.86,26.2,1.25,ER,"Signal recognition particle (SRP) subunit, interacts with the RNA component of SRP to form the Alu domain, which is the region of SRP responsible for arrest of nascent chain elongation during membrane targeting; homolog of mammalian SRP14"
YDR014W,RAD61,1.33,6.91,0.66,9.17,4.94,nucleus,"Subunit of a complex (Scc3p, Pds5p, Rad61p) that inhibits sister chromatid cohesion; inhibited by Eco1p-acetylated cohesin subunits Smc3p and Mcd1p; related to the human Wapl protein that controls the association of cohesin with chromatin"
YER043C,SAH1,1.33,157.89,24.18,209.78,10.36,cytoplasm,"S-adenosyl-L-homocysteine hydrolase, catabolizes S-adenosyl-L-homocysteine which is formed after donation of the activated methyl group of S-adenosyl-L-methionine (AdoMet) to an acceptor"
YER049W,,1.33,10.61,2.23,14.16,3.95,nucleus,"Poly(rA)-binding protein involved in translation termination efficiency, mRNA poly(A) tail length and mRNA stability; interacts with Sup45p (eRF1), Sup35p (eRF3) and Pab1p; similar to prolyl 4-hydroxylases; binds Fe(III) and 2-oxoglutarate"
YER074W,RPS24A,1.33,113.92,16.69,151.51,7.56,cytoplasm,Protein component of the small (40S) ribosomal subunit; identical to Rps24Bp and has similarity to rat S24 ribosomal protein
YER120W,SCS2,1.33,20.8,3.55,27.6,1.81,ER,"Integral ER membrane protein that regulates phospholipid metabolism via an interaction with the FFAT motif of Opi1p, also involved in telomeric silencing, disruption causes inositol auxotrophy above 34 degrees C, VAP homolog"
YER165W,PAB1,1.33,79.63,32.33,106.27,35.67,cytoplasm,"Poly(A) binding protein, part of the 3'-end RNA-processing complex, mediates interactions between the 5' cap structure and the 3' mRNA poly(A) tail, involved in control of poly(A) tail length, interacts with translation factor eIF-4G"
YFR016C,,1.33,13.76,0.5,18.28,0.61,"ambiguous,cytoplasm,bud",Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and bud; interacts with Spa2p; YFL016C is not an essential gene
YGL135W,RPL1B,1.33,289.18,47.41,384.68,29.16,cytoplasm,"N-terminally acetylated protein component of the large (60S) ribosomal subunit, nearly identical to Rpl1Ap and has similarity to E. coli L1 and rat L10a ribosomal proteins; rpl1a rpl1b double null mutation is lethal"
YGL201C,MCM6,1.33,16.23,2.26,21.64,1.43,"cytoplasm,nucleus",Protein involved in DNA replication; component of the Mcm2-7 hexameric complex that binds chromatin as a part of the pre-replicative complex; forms a subcomplex with Mcm4p and Mcm7p
YGR118W,RPS23A,1.33,7.41,0.78,9.85,2.05,cytoplasm,"Ribosomal protein 28 (rp28) of the small (40S) ribosomal subunit, required for translational accuracy; nearly identical to Rps23Bp and similar to E. coli S12 and rat S23 ribosomal proteins; deletion of both RPS23A and RPS23B is lethal"
YGR158C,MTR3,1.33,17.86,2.16,23.74,3.31,"cytoplasm,nucleus",Exosome non-catalytic core component; involved in 3'-5' RNA processing and degradation in both the nucleus and the cytoplasm; has similarity to E. coli RNase PH and to human hMtr3p (EXOSC6)
YGR271C-A,,1.33,18.95,1.06,25.16,0.71,nucleolus,Essential protein required for maturation of 18S rRNA; null mutant is sensitive to hydroxyurea and is delayed in recovering from alpha-factor arrest; green fluorescent protein (GFP)-fusion protein localizes to the nucleolus
YHR043C,DOG2,1.33,16.31,1.15,21.77,1.12,"cytoplasm,nucleus","2-deoxyglucose-6-phosphate phosphatase, member of a family of low molecular weight phosphatases, similar to Dog1p, induced by oxidative and osmotic stress, confers 2-deoxyglucose resistance when overexpressed"
YHR182W,,1.33,8.67,4.37,11.53,4,"cytoplasm,cell periphery",Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cell periphery and cytoplasm
YHR183W,GND1,1.33,582.75,18.51,773.43,82.11,"ambiguous,cytoplasm","6-phosphogluconate dehydrogenase (decarboxylating), catalyzes an NADPH regenerating reaction in the pentose phosphate pathway; required for growth on D-glucono-delta-lactone and adaptation to oxidative stress"
YIL127C,,1.33,11.26,0.66,15,1.51,nucleolus,Putative protein of unknown function; identified in a screen for mutants with decreased levels of rDNA transcription; green fluorescent protein (GFP)-fusion protein localizes to the nucleolus; predicted to be involved in ribosome biogenesis
YJL138C,TIF2,1.33,204.02,15.15,271.83,62.33,cytoplasm,"Translation initiation factor eIF4A, identical to Tif1p; DEA(D/H)-box RNA helicase that couples ATPase activity to RNA binding and unwinding; forms a dumbbell structure of two compact domains connected by a linker; interacts with eIF4G"
YJL144W,,1.33,9.52,3.9,12.61,3.38,cytoplasm,"Cytoplasmic hydrophilin with a role in dessication resistance; expression induced by osmotic stress, starvation and during stationary phase; GFP-fusion protein is induced by the DNA-damaging agent MMS"
YKL126W,YPK1,1.33,15.2,2.66,20.26,1.73,cytoplasm,Serine/threonine protein kinase that phosphorylates and downregulates flippase activator Fpk1p; mutations affect receptor-mediated endocytosis and sphingolipid-mediated and cell integrity signaling pathways; homolog of mammalian kinase SGK
YKL146W,AVT3,1.33,9.59,2.95,12.76,3.86,ER,"Vacuolar transporter, exports large neutral amino acids from the vacuole; member of a family of seven S. cerevisiae genes (AVT1-7) related to vesicular GABA-glycine transporters"
YKL152C,GPM1,1.33,745.24,168.23,993.12,130.3,cytoplasm,"Tetrameric phosphoglycerate mutase, mediates the conversion of 3-phosphoglycerate to 2-phosphoglycerate during glycolysis and the reverse reaction during gluconeogenesis"
YKL173W,SNU114,1.33,11.88,1.67,15.85,4.26,nucleus,GTPase component of U5 snRNP involved in mRNA splicing via spliceosome; binds directly to U5 snRNA; proposed to be involved in conformational changes of the spliceosome; similarity to ribosomal translocation factor EF-2
YLR035C,MLH2,1.33,10.01,3.03,13.35,0.13,"cytoplasm,nucleus",Protein involved in the mismatch repair of certain frameshift intermediates and involved in meiotic recombination; forms a complex with Mlh1p
YLR055C,SPT8,1.33,8.29,0.74,11.06,4.25,nucleus,"Subunit of the SAGA transcriptional regulatory complex but not present in SAGA-like complex SLIK/SALSA, required for SAGA-mediated inhibition at some promoters"
YML024W,RPS17A,1.33,221.4,39.49,295.37,25.92,cytoplasm,Ribosomal protein 51 (rp51) of the small (40s) subunit; nearly identical to Rps17Bp and has similarity to rat S17 ribosomal protein
YML056C,IMD4,1.33,34.95,6.11,46.36,8.06,cytoplasm,"Inosine monophosphate dehydrogenase, catalyzes the first step of GMP biosynthesis, member of a four-gene family in S. cerevisiae, constitutively expressed"
YML132W,COS3,1.33,6.31,2.27,8.4,1.07,vacuole,"Protein involved in salt resistance; interacts with sodium:hydrogen antiporter Nha1p; member of the DUP380 subfamily of conserved, often subtelomerically-encoded proteins"
YMR086W,,1.33,13.28,3.15,17.65,1.85,cell periphery,"Component of the eisosome with unknown function; may interact with ribosomes, based on co-purification experiments; GFP-fusion protein localizes to the cell periphery; expression is repressed by cAMP; similar to A. gossypii SEG gene which is important for"
YNL118C,DCP2,1.33,21.17,5.4,28.13,1.58,punctate composite,"Catalytic subunit of the Dcp1p-Dcp2p decapping enzyme complex, which removes the 5' cap structure from mRNAs prior to their degradation; member of the Nudix hydrolase family"
YNL138W,SRV2,1.33,18.16,3,24.1,1.93,actin,"CAP (cyclase-associated protein) subunit of adenylyl cyclase complex; N-terminus binds adenylyl cyclase and facilitates activation by RAS; C-terminus binds ADP-actin monomers, facilitating regulation of actin dynamics and cell morphogenesis"
YOR006C,,1.33,9.63,2.07,12.78,2.64,"cytoplasm,nucleus",Protein required for correct processing of the 20S pre-rRNA at site D to generate mature 18S rRNA; green fluorescent protein (GFP)-fusion protein localizes to both the cytoplasm and the nucleus
YOR131C,,1.33,14.45,2.05,19.18,2,"cytoplasm,nucleus",Putative protein of unknown function; non-essential gene; overexpression causes a cell cycle delay or arrest
YOR332W,VMA4,1.33,147.3,21.94,195.59,34.2,vacuolar membrane,"Subunit E of the eight-subunit V1 peripheral membrane domain of the vacuolar H+-ATPase (V-ATPase), an electrogenic proton pump found throughout the endomembrane system; required for the V1 domain to assemble onto the vacuolar membrane"
YPL015C,HST2,1.33,7.14,4.33,9.49,1.75,cytoplasm,Cytoplasmic member of the silencing information regulator 2 (Sir2) family of NAD(+)-dependent protein deacetylases; modulates nucleolar (rDNA) and telomeric silencing; possesses NAD(+)-dependent histone deacetylase activity in vitro
YPL061W,ALD6,1.33,461.51,137.2,615.26,57.43,"cytoplasm,nucleus","Cytosolic aldehyde dehydrogenase, activated by Mg2+ and utilizes NADP+ as the preferred coenzyme; required for conversion of acetaldehyde to acetate; constitutively expressed; locates to the mitochondrial outer surface upon oxidative stress"
YPL158C,,1.33,5.38,2.36,7.18,1.62,bud neck,Protein of unknown function; GFP-fusion protein localizes to the bud neck; transcription is regulated by Swi5p; null mutant displays elevated frequency of mitochondrial genome loss
YPR028W,YOP1,1.33,100.82,28.05,133.71,15.6,ER,Membrane protein that interacts with Yip1p to mediate membrane traffic; interacts with Sey1p to maintain ER morphology; overexpression leads to cell death and accumulation of internal cell membranes
YPR122W,AXL1,1.33,8.16,2.97,10.85,2.07,"bud neck,cell periphery",Haploid specific endoprotease that performs one of two N-terminal cleavages during maturation of a-factor mating pheromone; required for axial budding pattern of haploid cells
YPR143W,,1.33,28.21,5.95,37.52,2.11,"nucleolus,nucleus","Nucleolar protein, constituent of pre-60S ribosomal particles; required for proper processing of the 27S pre-rRNA at the A3 and B1 sites to yield mature 5.8S and 25S rRNAs"
YPR182W,SMX3,1.33,13.47,2.38,17.94,0.74,nucleus,"Core Sm protein Sm F; part of heteroheptameric complex (with Smb1p, Smd1p, Smd2p, Smd3p, Sme1p, and Smx2p) that is part of the spliceosomal U1, U2, U4, and U5 snRNPs; homolog of human Sm F"
YCR051W,,1.32,10.51,3.43,13.82,2.1,"cytoplasm,nucleus",Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus; contains ankyrin (Ank) repeats; YCR051W is not an essential gene
YCR092C,MSH3,1.32,6.59,1.9,8.68,1.29,"cytoplasm,nucleus","Mismatch repair protein, forms dimers with Msh2p that mediate repair of insertion or deletion mutations and removal of nonhomologous DNA ends, contains a PCNA (Pol30p) binding motif required for genome stability"
YDL085C-A,,1.32,29.54,0.96,38.97,1.25,"cytoplasm,nucleus",Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus
YDR308C,SRB7,1.32,9.16,2.79,12.09,1.91,nucleus,Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for transcriptional regulation; target of the global repressor Tup1p
YEL017C-A,PMP2,1.32,165.15,8.05,217.67,28.35,"cell periphery,vacuole",Proteolipid associated with plasma membrane H(+)-ATPase (Pma1p); regulates plasma membrane H(+)-ATPase activity; nearly identical to PMP1
YER011W,TIR1,1.32,8.6,2.29,11.34,3.87,ER,Cell wall mannoprotein of the Srp1p/Tip1p family of serine-alanine-rich proteins; expression is downregulated at acidic pH and induced by cold shock and anaerobiosis; abundance is increased in cells cultured without shaking
YER016W,BIM1,1.32,6.97,4.89,9.18,2.12,microtubule,Microtubule-binding protein that together with Kar9p makes up the cortical microtubule capture site and delays the exit from mitosis when the spindle is oriented abnormally
YER148W,SPT15,1.32,19.46,3.45,25.64,0.63,nucleus,"TATA-binding protein, general transcription factor that interacts with other factors to form the preinitiation complex at promoters, essential for viability"
YFR010W,UBP6,1.32,17.34,2.19,22.9,3.28,"cytoplasm,nucleus","Ubiquitin-specific protease situated in the base subcomplex of the 26S proteasome, releases free ubiquitin from branched polyubiquitin chains; works in opposition to Hul5p polyubiquitin elongation activity; mutant has aneuploidy tolerance"
YGL020C,MDM39,1.32,22.47,2.64,29.76,0.87,ER,Subunit of the GET complex; involved in insertion of proteins into the ER membrane; required for the retrieval of HDEL proteins from the Golgi to the ER in an ERD2 dependent fashion and for normal mitochondrial morphology and inheritance
YGL116W,CDC20,1.32,14.57,3.14,19.19,5.84,"cytoplasm,nucleus","Cell-cycle regulated activator of anaphase-promoting complex/cyclosome (APC/C), which is required for metaphase/anaphase transition; directs ubiquitination of mitotic cyclins, Pds1p, and other anaphase inhibitors; potential Cdc28p substrate"
YGL245W,GUS1,1.32,83.03,11.73,109.94,10.73,cytoplasm,"Glutamyl-tRNA synthetase (GluRS), forms a complex with methionyl-tRNA synthetase (Mes1p) and Arc1p; complex formation increases the catalytic efficiency of both tRNA synthetases and ensures their correct localization to the cytoplasm"
YGR277C,,1.32,8.34,2.51,11,1.79,cytoplasm,"Probable pantetheine-phosphate adenylyltransferase (PPAT), which catalyzes the fourth step in the biosynthesis of coenzyme A from pantothenate; null mutant lethality is complemented by E. coli coaD (encoding PPAT); widely conserved"
YGR284C,ERV29,1.32,44.54,4.34,58.58,8.28,ER,"Protein localized to COPII-coated vesicles, involved in vesicle formation and incorporation of specific secretory cargo"
YHL029C,,1.32,8.69,1.46,11.49,1.15,cytoplasm,"Cytoplasmic protein required for replication of Brome mosaic virus in S. cerevisiae, which is a model system for studying replication of positive-strand RNA viruses in their natural hosts"
YHL033C,RPL8A,1.32,474.51,57.57,626.69,69.49,cytoplasm,"Ribosomal protein L4 of the large (60S) ribosomal subunit, nearly identical to Rpl8Bp and has similarity to rat L7a ribosomal protein; mutation results in decreased amounts of free 60S subunits"
YHR105W,YPT35,1.32,9,1.82,11.84,1.09,endosome,Endosomal protein of unknown function that contains a phox (PX) homology domain and binds to both phosphatidylinositol-3-phosphate (PtdIns(3)P) and proteins involved in ER-Golgi or vesicular transport
YIL008W,URM1,1.32,15.43,0.71,20.32,1.25,"cytoplasm,nucleus",Ubiquitin-like protein involved in thiolation of cytoplasmic tRNAs; receives sulfur from the E1-like enzyme Uba4p and transfers it to tRNA; also functions as a protein tag with roles in nutrient sensing and oxidative stress response
YJL081C,ARP4,1.32,13.58,4.2,17.9,4.7,nucleus,"Nuclear actin-related protein involved in chromatin remodeling, component of chromatin-remodeling enzyme complexes"
YLL009C,COX17,1.32,70.06,6.8,92.75,9.05,"cytoplasm,nucleus",Copper metallochaperone that transfers copper to Sco1p and Cox11p for eventual delivery to cytochrome c oxidase; contains twin cysteine-x9-cysteine motifs
YLR082C,SRL2,1.32,7.86,3.26,10.38,4.71,"cytoplasm,nucleus",Protein of unknown function; overexpression suppresses the lethality caused by a rad53 null mutation
YLR150W,STM1,1.32,179.29,30.2,236.89,17.97,cytoplasm,Protein required for optimal translation under nutrient stress; perturbs association of Yef3p with ribosomes; involved in TOR signaling; binds G4 quadruplex and purine motif triplex nucleic acid; helps maintain telomere structure
YLR369W,SSQ1,1.32,9.54,2.89,12.62,0.98,mitochondrion,"Mitochondrial hsp70-type molecular chaperone, required for assembly of iron/sulfur clusters into proteins at a step after cluster synthesis, and for maturation of Yfh1p, which is a homolog of human frataxin implicated in Friedreich's ataxia"
YLR436C,ECM30,1.32,9.42,1.21,12.41,2.09,cytoplasm,"Putative protein of unknown function; may play a role in cell wall biosynthesis, mutants have abormal relative levels of mannose and glucose and have Gap1p sorting and transport defects; (GFP)-fusion protein localizes to the cytoplasm"
YML031W,NDC1,1.32,23.5,1.1,30.97,3.07,nuclear periphery,"Nuclear envelope protein with multiple putative transmembrane domains, required for nuclear pore complex assembly and spindle pole body duplication; required for meiosis II"
YML074C,FPR3,1.32,39.47,4.68,52.07,1.5,"nucleolus,nucleus",Nucleolar peptidyl-prolyl cis-trans isomerase (PPIase); FK506 binding protein; phosphorylated by casein kinase II (Cka1p-Cka2p-Ckb1p-Ckb2p) and dephosphorylated by Ptp1p
YMR093W,UTP15,1.32,10.06,1,13.27,1.12,"nucleolus,nucleus","Nucleolar protein, component of the small subunit (SSU) processome containing the U3 snoRNA that is involved in processing of pre-18S rRNA"
YMR125W,STO1,1.32,22.7,3.49,29.92,0.76,nucleus,"Large subunit of the nuclear mRNA cap-binding protein complex, interacts with Npl3p to carry nuclear poly(A)+ mRNA to cytoplasm; also involved in nuclear mRNA degradation and telomere maintenance; orthologous to mammalian CBP80"
YMR282C,AEP2,1.32,5.26,1.6,6.96,1.59,mitochondrion,"Mitochondrial protein, likely involved in translation of the mitochondrial OLI1 mRNA; exhibits genetic interaction with the OLI1 mRNA 5'-untranslated leader"
YOL141W,PPM2,1.32,8.57,2.57,11.34,0.96,cytoplasm,"AdoMet-dependent tRNA methyltransferase also involved in methoxycarbonylation; required for the synthesis of wybutosine (yW), a modified guanosine found at the 3'-position adjacent to the anticodon of phe-tRNA; similarity to Ppm1p"
YOR116C,RPO31,1.32,18.03,1.25,23.75,2.26,nucleus,"RNA polymerase III largest subunit C160, part of core enzyme; similar to bacterial beta-prime subunit and to RPA190 and RPO21"
YOR360C,PDE2,1.32,13.69,2.32,18.01,5.42,"cytoplasm,nucleus","High-affinity cyclic AMP phosphodiesterase, component of the cAMP-dependent protein kinase signaling system, protects the cell from extracellular cAMP, contains readthrough motif surrounding termination codon"
YOR375C,GDH1,1.32,108.91,18.89,143.45,18.15,"cytoplasm,nucleus","NADP(+)-dependent glutamate dehydrogenase, synthesizes glutamate from ammonia and alpha-ketoglutarate; rate of alpha-ketoglutarate utilization differs from Gdh3p; expression regulated by nitrogen and carbon sources"
YPL106C,SSE1,1.32,267.59,31.83,352.24,38.38,cytoplasm,ATPase that is a component of the heat shock protein Hsp90 chaperone complex; binds unfolded proteins; member of the heat shock protein 70 (HSP70) family; localized to the cytoplasm
YPR041W,TIF5,1.32,82.37,4.21,108.38,21.2,cytoplasm,Translation initiation factor eIF5; functions both as a GTPase-activating protein to mediate hydrolysis of ribosome-bound GTP and as a GDP dissociation inhibitor to prevent recycling of eIF2
YBL068W,PRS4,1.31,9.43,3.9,12.33,3.05,cytoplasm,"5-phospho-ribosyl-1(alpha)-pyrophosphate synthetase, synthesizes PRPP, which is required for nucleotide, histidine, and tryptophan biosynthesis; one of five related enzymes, which are active as heteromultimeric complexes"
